FROM , TO
2 , 7
0 , 2
8 , 1
8 , 0
0 , 1
3 , 2
3 , 2
3 , 4
3 , 0
0 , 3
0 , 3
0 , 3
1 , 3
1 , 3
1 , 3
1 , 4
1 , 5
1 , 0
2 , 1
2 , 1
2 , 0
6 , 1
6 , 0
0 , 1
2 , 1
2 , 1
2 , 5
2 , 0
0 , 6
4 , 2
4 , 2
4 , 0
2 , 4
2 , 4
2 , 4
2 , 6
2 , 0
6 , 2
8 , 2
5 , 0
5 , 2
0 , 2
5 , 2
5 , 2
5 , 2
5 , 2
5 , 2
5 , 0
0 , 2
0 , 5
7 , 0
7 , 10
6 , 0
0 , 5
4 , 5
4 , 5
4 , 5
4 , 5
4 , 0
4 , 6
5 , 4
5 , 4
5 , 4
5 , 4
5 , 0
2 , 4
2 , 0
3 , 2
3 , 2
3 , 4
3 , 5
3 , 5
3 , 0
1 , 3
1 , 3
1 , 0
0 , 1
1 , 3
1 , 3
1 , 3
1 , 3
1 , 0
0 , 1
4 , 1
4 , 1
4 , 1
4 , 0
3 , 1
3 , 1
3 , 1
3 , 4
3 , 4
3 , 4
3 , 0
0 , 3
0 , 3
7 , 0
8 , 3
8 , 3
8 , 0
3 , 5
4 , 8
4 , 3
4 , 3
4 , 3
4 , 3
4 , 0
7 , 4
7 , 0
9 , 4
9 , 4
9 , 4
9 , 4
9 , 4
9 , 0
9 , 8
1 , 4
1 , 5
1 , 5
1 , 5
1 , 5
1 , 6
1 , 6
1 , 6
1 , 0
3 , 1
3 , 1
3 , 1
3 , 1
3 , 1
3 , 1
3 , 1
3 , 1
3 , 1
3 , 0
7 , 3
0 , 3
5 , 3
5 , 3
5 , 3
5 , 3
5 , 0
5 , 3
5 , 3
5 , 3
5 , 0
3 , 5
0 , 3
10 , 0
0 , 3
4 , 5
4 , 5
4 , 5
4 , 5
4 , 5
4 , 5
4 , 5
4 , 0
6 , 4
6 , 4
6 , 4
6 , 0
6 , 4
6 , 4
6 , 4
6 , 4
6 , 4
6 , 0
5 , 6
5 , 6
5 , 6
10 , 5
10 , 5
10 , 5
10 , 5
10 , 6
10 , 6
10 , 0
2 , 6
2 , 6
2 , 6
2 , 6
2 , 0
1 , 2
1 , 2
1 , 2
1 , 2
1 , 2
1 , 6
1 , 7
1 , 7
1 , 0
7 , 10
1 , 0
7 , 1
5 , 1
5 , 1
5 , 1
5 , 1
5 , 0
7 , 1
7 , 0
1 , 7
4 , 1
4 , 1
4 , 1
4 , 1
4 , 1
4 , 0
4 , 7
6 , 4
6 , 4
6 , 4
6 , 4
6 , 4
6 , 4
6 , 4
6 , 0
3 , 5
3 , 5
3 , 5
3 , 0
9 , 0
3 , 9
3 , 5
8 , 0
4 , 3
4 , 3
4 , 3
4 , 0
3 , 9
3 , 9
3 , 7
4 , 9
3 , 4
3 , 4
3 , 0
4 , 3
2 , 3
2 , 3
2 , 3
2 , 3
2 , 3
2 , 3
2 , 3
2 , 0
8 , 0
8 , 6
5 , 0
5 , 2
5 , 2
5 , 2
5 , 2
5 , 2
5 , 2
5 , 0
3 , 5
3 , 5
4 , 2
4 , 2
4 , 3
4 , 0
0 , 3
10 , 0
3 , 4
3 , 4
3 , 4
3 , 0
3 , 5
2 , 3
2 , 3
2 , 3
2 , 3
2 , 3
2 , 3
2 , 4
2 , 4
2 , 0
3 , 0
10 , 0
3 , 10
3 , 2
3 , 10
4 , 10
4 , 10
1 , 2
1 , 2
1 , 2
1 , 2
1 , 2
1 , 2
1 , 2
1 , 2
1 , 3
1 , 0
3 , 1
3 , 1
3 , 1
3 , 1
3 , 1
2 , 1
2 , 1
2 , 1
2 , 1
2 , 1
2 , 3
2 , 0
3 , 10
8 , 0
2 , 8
4 , 8
4 , 8
6 , 0
3 , 0
2 , 0
4 , 2
4 , 2
4 , 0
6 , 0
5 , 0
1 , 2
1 , 0
1 , 4
1 , 2
1 , 4
7 , 0
9 , 0
7 , 0
1 , 0
2 , 0
3 , 0
2 , 3
10 , 0
0 , 1
5 , 0
9 , 0
1 , 0
6 , 0
2 , 0
2 , 3
1 , 0
8 , 0
2 , 0
10 , 0
1 , 0
8 , 0
9 , 0
7 , 0
5 , 0
5 , 0
10 , 0
3 , 0
4 , 0
8 , 0
7 , 0
10 , 0
9 , 0
10 , 0
1 , 0
3 , 0
1 , 0
4 , 0
